C,time,w,Z,J,J_up,J_down
186.471980017215,2020-06-20T07:00:14.587Z,0.0980635484946117,updraft,1,"(-1.78,119]","(-1.57,119]"
192.66597853902,2020-06-20T07:00:14.783Z,-0.311936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
183.301981924566,2020-06-20T07:00:14.982Z,-0.161936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
191.893969865365,2020-06-20T07:00:15.182Z,-0.0319364515053883,downdraft,1,"(-1.78,119]","(-1.57,119]"
172.960999722482,2020-06-20T07:00:15.385Z,-0.161936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
176.507985786951,2020-06-20T07:00:15.588Z,0.0180635484946117,updraft,1,"(-1.78,119]","(-1.57,119]"
186.217980064899,2020-06-20T07:00:15.786Z,-0.231936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
183.347972673917,2020-06-20T07:00:15.982Z,-0.431936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
178.751979406863,2020-06-20T07:00:16.181Z,0.0880635484946117,updraft,1,"(-1.78,119]","(-1.57,119]"
184.817977151426,2020-06-20T07:00:16.381Z,-0.301936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
185.232974938896,2020-06-20T07:00:16.581Z,-0.181936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
186.998981423887,2020-06-20T07:00:16.781Z,0.148063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
181.748977847603,2020-06-20T07:00:16.981Z,0.0880635484946117,updraft,1,"(-1.78,119]","(-1.57,119]"
177.542981740979,2020-06-20T07:00:17.181Z,0.00806354849461171,updraft,1,"(-1.78,119]","(-1.57,119]"
176.334978279143,2020-06-20T07:00:17.381Z,-0.621936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
153.535978777438,2020-06-20T07:00:17.580Z,-0.441936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
155.29597877744,2020-06-20T07:00:17.780Z,-0.361936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
172.805988791029,2020-06-20T07:00:17.982Z,-0.211936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
184.435970099014,2020-06-20T07:00:18.185Z,-0.141936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
176.695974724327,2020-06-20T07:00:18.380Z,0.328063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
178.275978777438,2020-06-20T07:00:18.580Z,0.518063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
180.611976202514,2020-06-20T07:00:18.781Z,-0.181936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
181.635978777438,2020-06-20T07:00:18.980Z,-0.241936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
181.375978825123,2020-06-20T07:00:19.180Z,-0.401936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
175.63698123076,2020-06-20T07:00:19.379Z,-0.0919364515053883,downdraft,1,"(-1.78,119]","(-1.57,119]"
176.320976989296,2020-06-20T07:00:19.579Z,0.0780635484946117,updraft,1,"(-1.78,119]","(-1.57,119]"
176.421974056746,2020-06-20T07:00:19.778Z,-0.171936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
164.907978395968,2020-06-20T07:00:19.978Z,-0.0819364515053883,downdraft,1,"(-1.78,119]","(-1.57,119]"
170.869983083272,2020-06-20T07:00:20.182Z,0.138063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
174.015977776082,2020-06-20T07:00:20.394Z,-0.401936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
174.596980136426,2020-06-20T07:00:20.579Z,-0.701936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
172.435961611283,2020-06-20T07:00:20.778Z,-0.291936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
162.372977561503,2020-06-20T07:00:20.981Z,-0.0919364515053883,downdraft,1,"(-1.78,119]","(-1.57,119]"
166.949974786316,2020-06-20T07:00:21.178Z,-0.411936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
159.917980966118,2020-06-20T07:00:21.378Z,-0.161936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
150.425967094916,2020-06-20T07:00:21.581Z,-0.241936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
154.468977609187,2020-06-20T07:00:21.777Z,-0.321936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
165.862977084664,2020-06-20T07:00:21.977Z,-0.0819364515053883,downdraft,1,"(-1.78,119]","(-1.57,119]"
162.122977258714,2020-06-20T07:00:22.179Z,-0.0919364515053883,downdraft,1,"(-1.78,119]","(-1.57,119]"
150.021973756349,2020-06-20T07:00:22.377Z,-0.621936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
140.602978992016,2020-06-20T07:00:22.577Z,-0.321936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
159.749976345567,2020-06-20T07:00:22.777Z,0.468063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
151.681994322345,2020-06-20T07:00:22.978Z,-0.131936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
144.071973637143,2020-06-20T07:00:23.179Z,-0.141936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
142.263983049894,2020-06-20T07:00:23.376Z,0.188063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
132.532979230435,2020-06-20T07:00:23.577Z,0.118063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
132.224979325802,2020-06-20T07:00:23.777Z,-0.391936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
137.728978086023,2020-06-20T07:00:23.977Z,-0.641936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
149.707998394491,2020-06-20T07:00:24.176Z,-0.0419364515053883,downdraft,1,"(-1.78,119]","(-1.57,119]"
149.331983984492,2020-06-20T07:00:24.376Z,0.338063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
151.027982687507,2020-06-20T07:00:24.576Z,0.568063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
151.635977108506,2020-06-20T07:00:24.776Z,0.278063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
155.5679762502,2020-06-20T07:00:24.976Z,0.428063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
153.170983009362,2020-06-20T07:00:25.175Z,0.568063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
144.159986921806,2020-06-20T07:00:25.376Z,0.118063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
130.45598044637,2020-06-20T07:00:25.576Z,-0.191936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
137.706977752237,2020-06-20T07:00:25.777Z,-0.151936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
134.385981876883,2020-06-20T07:00:25.977Z,-0.301936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
132.083982763792,2020-06-20T07:00:26.176Z,-0.141936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
127.23198732235,2020-06-20T07:00:26.376Z,-0.181936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
113.227976727036,2020-06-20T07:00:26.576Z,0.538063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
129.368975224997,2020-06-20T07:00:26.777Z,-0.441936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
127.59198097089,2020-06-20T07:00:26.976Z,0.248063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
112.764975585016,2020-06-20T07:00:27.177Z,0.788063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
162.244995421415,2020-06-20T07:00:27.377Z,-0.281936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
189.639972530866,2020-06-20T07:00:27.576Z,-0.221936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
204.183982973609,2020-06-20T07:00:27.776Z,0.838063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
199.070978181391,2020-06-20T07:00:27.975Z,0.398063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
186.582984268211,2020-06-20T07:00:28.179Z,-0.291936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
154.875961659009,2020-06-20T07:00:28.380Z,-0.201936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
185.296011679235,2020-06-20T07:00:28.575Z,-0.171936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
157.170933120236,2020-06-20T07:00:28.775Z,-0.301936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
120.270979135066,2020-06-20T07:00:28.975Z,-0.501936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
140.820962624603,2020-06-20T07:00:29.175Z,-0.521936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
177.427914423588,2020-06-20T07:00:29.376Z,-0.701936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
191.67097651246,2020-06-20T07:00:29.575Z,0.258063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
194.020981996093,2020-06-20T07:00:29.775Z,0.178063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
203.631982401406,2020-06-20T07:00:29.978Z,-0.281936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
