time,RH,wind_speed,wind_dir,H,LE,air_temperature
2020-06-22T04:00:00Z,82.5173,1.08003,187.606,-13.061575,14.2992,288.6055
2020-06-22T05:00:00Z,81.3523,1.98837,196.689,37.29,54.62095,289.059
2020-06-22T06:00:00Z,81.68305,2.81376,200.2385,54.69505,72.73935,289.238
2020-06-22T07:00:00Z,76.43965,4.00456,198.9635,103.33655,116.958,290.624
2020-06-22T08:00:00Z,72.50055,3.608565,195.9065,140.662,153.0875,291.521
2020-06-22T09:00:00Z,66.10065,4.040715,200.835,206.144,215.195,292.61
2020-06-22T10:00:00Z,63.5807,3.60304,198.146,177.658,289.1285,292.8985
2020-06-22T11:00:00Z,61.64515,4.042445,205.467,166.717,316.788,293.609
2020-06-22T12:00:00Z,56.1868,4.11395,208.269,152.6056,262.8395,294.768
2020-06-22T13:00:00Z,47.0891,3.994575,205.238,126.4803,219.3595,295.703
2020-06-22T14:00:00Z,43.2619,3.879165,206.889,115.865,249.2665,296.152
2020-06-22T15:00:00Z,41.879,3.39292,217.159,65.54995,140.053,296.437
2020-06-22T16:00:00Z,39.0355,3.08545,222.2625,21.17042,125.4005,297.0405
2020-06-22T17:00:00Z,36.6869,3.25317,212.0475,21.045,115.20195,296.9285
2020-06-22T18:00:00Z,37.2948,2.44482,215.375,-3.05257,41.94865,296.3295
2020-06-22T19:00:00Z,38.53,1.48923,213.3495,-9.961785,15.13376,296.5425
2020-06-22T20:00:00Z,43.18735,1.31826,223.1305,-1.82936,0.626195,295.681
2020-06-22T21:00:00Z,53.2538,0.867028,218.936,-2.0536095,-0.4353005,293.4285
2020-06-22T22:00:00Z,63.18115,1.010171,262.0485,-11.055345,5.27232,291.09
2020-06-22T23:00:00Z,72.39195,0.779953,228.7565,-1.667115,0.0424027,288.8225
2020-06-23T00:00:00Z,69.4268,0.6127315,198.367,-3.194385,2.454935,289.3635
2020-06-23T01:00:00Z,78.5422,0.8884985,128.5785,-0.317865,2.310185,287.26
2020-06-23T02:00:00Z,82.96825,0.767513,144.9025,-2.502595,-3.008072,285.9145
2020-06-23T03:00:00Z,86.9101,0.7521755,114.645,-0.154977,-0.571313,284.813
2020-06-23T04:00:00Z,90.2211,0.6042465,166,-0.01196,4.295355,284.031
2020-06-23T05:00:00Z,93.5949,0.5561965,170.4405,3.416305,28.367625,283.393
