q,freq,magnitude,phase,fc,tau
0.1,0.000613226007709115,0.999332612741382,-1.98591896661323,0.0167841806131989,9
0.3,0.000613226007709115,0.999942271767901,-0.515085773738594,0.0573781921574029,3
0.05,0.000616421950858361,0.997161969180697,-4.20813185485285,0.00816537180478543,19
0.1,0.000616421950858361,0.999325645246656,-1.99625916199313,0.0167841806131989,9
0.3,0.000616421950858361,0.999941668530276,-0.517769987658029,0.0573781921574029,3
0.05,0.000619634550268896,0.997132437717107,-4.22997754383903,0.00816537180478543,19
0.1,0.000619634550268896,0.99931860508606,-2.00665309345514,0.0167841806131989,9
0.3,0.000619634550268896,0.999941058989617,-0.520468186891383,0.0573781921574029,3
0.05,0.00062286389274797,0.99710260029946,-4.25193574373274,0.00816537180478543,19
0.1,0.00062286389274797,0.999311491503305,-2.01710103864219,0.0167841806131989,9
0.3,0.00062286389274797,0.999940443080078,-0.523180444263318,0.0573781921574029,3
0.05,0.000626110065555247,0.997072453785971,-4.27400701997679,0.00816537180478543,19
0.1,0.000626110065555247,0.999304303734266,-2.02760327660642,0.0167841806131989,9
0.3,0.000626110065555247,0.999939820735124,-0.525906832977049,0.0573781921574029,3
0.05,0.000629373156405162,0.997041995003171,-4.29619194063625,0.00816537180478543,19
0.1,0.000629373156405162,0.999297041006891,-2.03816008781586,0.0167841806131989,9
0.3,0.000629373156405162,0.999939191887527,-0.52864742661631,0.0573781921574029,3
0.05,0.000632653253469288,0.997011220745615,-4.31849107640709,0.00816537180478543,19
0.1,0.000632653253469288,0.999289702541139,-2.04877175416131,0.0167841806131989,9
0.3,0.000632653253469288,0.999938556469356,-0.531402299147317,0.0573781921574029,3
0.05,0.000635950445378723,0.996980127775561,-4.34090500062486,0.00816537180478543,19
0.1,0.000635950445378723,0.999282287548878,-2.05943855896304,0.0167841806131989,9
0.3,0.000635950445378723,0.99993791441197,-0.534171524920748,0.0573781921574029,3
0.05,0.000639264821226481,0.99694871282265,-4.36343428927327,0.00816537180478543,19
0.1,0.000639264821226481,0.999274795233813,-2.0701607869777,0.0167841806131989,9
0.3,0.000639264821226481,0.999937265646013,-0.536955178673726,0.0573781921574029,3
0.05,0.000642596470569902,0.996916972583611,-4.3860795209928,0.00816537180478543,19
0.1,0.000642596470569902,0.999267224791398,-2.08093872440514,0.0167841806131989,9
0.3,0.000642596470569902,0.999936610101401,-0.539753335531824,0.0573781921574029,3
0.05,0.000645945483433071,0.99688490372193,-4.40884127708922,0.00816537180478543,19
0.1,0.000645945483433071,0.999259575408758,-2.09177265889531,0.0167841806131989,9
0.3,0.000645945483433071,0.999935947707324,-0.542566071011067,0.0573781921574029,3
0.05,0.00064931195030925,0.996852502867524,-4.43172014154212,0.00816537180478543,19
0.1,0.00064931195030925,0.999251846264592,-2.10266287955514,0.0167841806131989,9
0.3,0.00064931195030925,0.999935278392227,-0.545393461019952,0.0573781921574029,3
0.05,0.000652695962163325,0.99681976661643,-4.45471670101338,0.00816537180478543,19
0.1,0.000652695962163325,0.999244036529095,-2.11360967695551,0.0167841806131989,9
0.3,0.000652695962163325,0.999934602083811,-0.548235581861475,0.0573781921574029,3
0.05,0.00065609761043426,0.996786691530472,-4.47783154485558,0.00816537180478543,19
0.1,0.00065609761043426,0.999236145363869,-2.1246133431382,0.0167841806131989,9
0.3,0.00065609761043426,0.999933918709021,-0.551092510235171,0.0573781921574029,3
0.05,0.000659516987037574,0.996753274136933,-4.50106526512046,0.00816537180478543,19
0.1,0.000659516987037574,0.999228171921837,-2.13567417162286,0.0167841806131989,9
0.3,0.000659516987037574,0.99993322819404,-0.553964323239163,0.0573781921574029,3
0.05,0.000662954184367819,0.99671951092821,-4.52441845656714,0.00816537180478543,19
0.1,0.000662954184367819,0.999220115347146,-2.14679245741404,0.0167841806131989,9
0.3,0.000662954184367819,0.999932530464278,-0.556851098372221,0.0573781921574029,3
0.05,0.000666409295301077,0.996685398361506,-4.54789171667062,0.00816537180478543,19
0.1,0.000666409295301077,0.999211974775085,-2.15796849700821,0.0167841806131989,9
0.3,0.000666409295301077,0.999931825444369,-0.55975291353583,0.0573781921574029,3
0.05,0.000669882413197476,0.99665093285847,-4.5714856456299,0.00816537180478543,19
0.1,0.000669882413197476,0.999203749331995,-2.16920258840088,0.0167841806131989,9
0.3,0.000669882413197476,0.999931113058158,-0.562669847036273,0.0573781921574029,3
0.05,0.000673373631903703,0.996616110804856,-4.59520084637624,0.00816537180478543,19
0.1,0.000673373631903703,0.999195438135168,-2.18049503109358,0.0167841806131989,9
0.3,0.000673373631903703,0.999930393228695,-0.56560197758672,0.0573781921574029,3
0.05,0.000676883045755547,0.996580928550197,-4.61903792458137,0.00816537180478543,19
0.1,0.000676883045755547,0.999187040292764,-2.19184612610109,0.0167841806131989,9
0.3,0.000676883045755547,0.999929665878227,-0.568549384309331,0.0573781921574029,3
0.05,0.000680410749580447,0.996545382407434,-4.64299748866557,0.00816537180478543,19
0.1,0.000680410749580447,0.999178554903712,-2.20325617595851,0.0167841806131989,9
0.3,0.000680410749580447,0.99992893092819,-0.571512146737365,0.0573781921574029,3
0.05,0.00068395683870005,0.996509468652588,-4.66708014980578,0.00816537180478543,19
0.1,0.00068395683870005,0.999169981057617,-2.21472548472847,0.0167841806131989,9
0.3,0.00068395683870005,0.999928188299199,-0.574490344817306,0.0573781921574029,3
0.05,0.000687521408932793,0.996473183524389,-4.6912865219436,0.00816537180478543,19
0.1,0.000687521408932793,0.999161317834663,-2.22625435800828,0.0167841806131989,9
0.3,0.000687521408932793,0.999927437911038,-0.577484058910994,0.0573781921574029,3
0.05,0.000691104556596486,0.996436523223936,-4.71561722179328,0.00816537180478543,19
0.1,0.000691104556596486,0.999152564305523,-2.23784310293718,0.0167841806131989,9
